latitude,longitude,brightness,acq_date,acq_time,confidence,bright_t31,frp,daynight,precipitation,solar_radiation,max_temp,min_temp,vapor_pressure
43.9516,-115.6206,316.3,2019-10-02,1901,77,286.0,20.7,D,,,,,
46.6427,-117.6549,303.8,2015-03-05,2134,46,287.4,16.5,D,,,,,
41.4503,-81.6807,315.9,2014-08-20,1616,52,298.3,7.3,D,,,,,
42.6312,-93.5881,305.3,2012-11-01,1851,61,284.4,16.4,D,,,,,
42.3759,-124.0482,333.0,2015-08-17,2151,73,307.6,54.3,D,,,,,
33.3197,-116.3456,334.7,2016-05-04,1852,74,318.9,21.4,D,,,,,
35.1286,-79.9,302.9,2020-03-12,1849,28,279.3,6.9,D,,,,,
31.5383,-96.9617,307.8,2017-11-25,1926,54,295.6,6.9,D,,,,,
34.9438,-98.5915,300.5,2011-01-25,1749,38,285.6,9.0,D,0.0,275.44,10.28,-3.12,485.19
42.1756,-105.2667,342.1,2012-06-30,2006,84,302.1,35.2,D,,,,,
38.6411,-96.3196,316.2,2014-04-12,428,39,288.0,14.4,N,,,,,
31.5708,-82.5445,316.8,2019-06-29,1630,58,290.5,10.8,D,,,,,
34.728,-90.2094,318.2,2011-07-06,1914,44,293.3,9.1,D,0.0,391.25,33.47,22.3,2691.64
34.5411,-95.9798,324.7,2012-03-01,2009,80,300.5,66.0,D,0.0,464.39,26.17,2.67,739.83
34.4353,-90.7332,322.8,2016-10-27,1849,74,299.1,28.6,D,,,,,
36.2607,-121.4798,323.5,2016-09-24,2124,39,306.7,10.8,D,,,,,
47.8033,-110.3095,313.1,2015-04-20,1823,43,299.5,4.7,D,,,,,
32.956,-80.277,309.9,2021-05-14,1555,59,295.5,8.4,D,,,,,
30.5663,-84.1063,317.5,2013-03-28,1920,76,296.0,34.1,D,,,,,
30.7112,-84.7224,302.7,2016-02-05,1854,53,286.9,6.2,D,,,,,
47.1803,-116.5244,326.1,2019-10-29,1842,84,272.6,31.9,D,,,,,
38.7095,-104.8066,369.2,2018-03-04,1959,100,298.8,126.0,D,,,,,
32.9992,-110.7652,304.2,2011-12-30,1821,56,291.6,5.3,D,0.0,339.14,22.23,2.93,727.34
30.245,-84.1184,338.2,2019-02-11,1907,90,297.3,52.8,D,,,,,
42.6793,-111.5959,302.8,2015-07-14,508,51,284.4,11.7,N,,,,,
37.9224,-95.8101,312.2,2017-04-10,1909,65,297.5,12.7,D,,,,,
32.3303,-106.4939,332.9,2016-05-30,1751,66,308.7,20.5,D,,,,,
34.132670000000005,-96.24973,321.75,2021-08-05,1945,69,301.41,10.15,D,,,,,
28.91,-82.2741,315.4,2011-03-03,1806,34,289.3,66.2,D,0.0,386.83,25.6,12.0,1401.52
47.9853,-108.9824,300.5,2014-05-22,521,29,286.2,6.3,N,,,,,
33.3013,-88.3696,341.2,2018-10-24,1855,92,292.4,56.8,D,,,,,
26.0867,-97.455,327.0,2018-08-04,1950,76,294.1,14.8,D,,,,,
34.4491,-85.7764,301.3,2013-04-12,1700,44,290.8,7.6,D,,,,,
31.5803,-99.0512,316.6,2011-05-03,1738,64,301.2,10.1,D,0.0,518.79,22.23,4.25,373.43
38.3906,-98.155,314.1,2012-11-20,1921,72,295.1,17.0,D,,,,,
35.0492,-79.7875,322.9,2019-06-27,1819,33,295.1,16.1,D,,,,,
47.0027,-97.5555,302.0,2012-10-12,1917,50,284.6,5.6,D,,,,,
69.0533,-156.166,323.4,2013-06-20,2206,70,297.8,16.7,D,,,,,
36.2407,-95.7272,324.9,2016-06-17,1738,73,300.6,21.8,D,,,,,
63.3457,-155.8887,314.5,2016-07-14,2208,65,296.0,8.2,D,,,,,
35.0305,-96.0553,327.2,2020-02-28,1921,46,294.0,30.6,D,,,,,
32.3934,-110.8805,320.8,2020-06-12,534,100,296.5,15.6,N,,,,,
30.8201,-89.0274,318.3,2014-06-18,1702,69,302.4,13.9,D,,,,,
43.4846,-89.1403,312.4,2015-09-02,1652,66,294.3,8.1,D,,,,,
39.7711,-89.7731,300.5,2018-03-03,1736,37,286.1,18.2,D,,,,,
29.1434,-81.4754,308.1,2017-11-03,1823,48,294.7,10.0,D,,,,,
43.0212,-123.8146,315.8,2016-11-01,2049,76,284.6,38.4,D,,,,,
30.8975,-90.4828,314.1,2020-01-08,1848,74,291.2,39.2,D,,,,,
46.0476,-89.9284,304.8,2015-05-21,1924,51,293.6,8.3,D,,,,,
35.812,-76.5269,334.7,2014-10-06,1849,84,298.1,105.5,D,,,,,
31.7318,-84.2428,308.3,2016-02-13,1806,67,286.2,74.6,D,,,,,
66.7579,-150.8918,301.7,2013-06-28,754,42,286.2,9.8,N,,,,,
35.4499,-120.5283,308.6,2020-03-06,1928,46,293.8,23.0,D,,,,,
32.316,-106.778,304.9,2017-12-12,2009,52,292.3,5.0,D,,,,,
32.3891,-81.8359,316.6,2018-09-07,1625,64,299.5,9.6,D,,,,,
32.6198,-87.8159,316.7,2014-10-24,1701,76,295.9,23.2,D,,,,,
27.7214,-81.7471,311.2,2017-01-20,1554,64,294.7,12.8,D,,,,,
